Name,ra,dec,epoch,mu_acosd,mu_d,b,r,i,d_H,vt_H,Mbol_H,w_H,d_He,vt_He,Mbol_He,w_He
SSSJ000022.5-105142,0.0937,-10.8616,1987.631,46.0,-23.0,19.093,18.688,18.536,150.8,36.8,12.8,1.0,150.3,36.6,12.8,0.0
SSSJ000034.0-052922,0.1415,-5.4895,1989.894,88.4,-16.2,17.133,17.062,17.062,121.2,51.7,10.9,1.0,114.4,48.8,11.1,0.0
SSSJ000053.1-465220,0.2214,-46.8722,1991.348,55.3,-26.9,18.725,17.989,17.787,77.2,22.5,13.8,1.0,77.7,22.7,13.8,0.0
SSSJ000115.7+401037,0.3154,40.1769,1989.761,100.5,-50.6,19.242,18.884,19.027,228.8,122.5,11.9,1.0,214.2,114.7,12.0,0.0
SSSJ000122.3+183255,0.3428,18.5485,1989.241,73.3,-29.6,18.319,18.181,18.106,178.7,66.9,11.5,1.0,166.6,62.4,11.7,0.0
SSSJ000123.3-111156,0.3469,-11.1988,1999.61,92.3,-115.6,18.763,18.086,17.941,88.2,61.8,13.6,1.0,88.8,62.3,13.6,0.0
SSSJ000136.1-374710,0.4005,-37.786,1996.867,94.3,-11.6,18.222,18.165,17.845,153.5,69.1,11.8,1.0,144.8,65.2,11.9,0.0
SSSJ000137.6+323655,0.4065,32.6152,1989.828,-75.7,-74.5,17.554,17.644,17.581,174.3,87.6,10.1,1.0,170.5,85.7,10.4,0.0
SSSJ000154.8+452034,0.4784,45.3427,1989.678,236.1,-31.1,18.27,17.755,17.51,80.9,91.3,13.3,1.0,81.3,91.8,13.3,0.0
SSSJ000156.3-561722,0.4844,-56.2895,1996.836,-86.7,-34.9,18.604,18.25,17.943,113.3,49.9,12.9,1.0,113.2,49.9,13.0,0.0
SSSJ000215.4+073400,0.5644,7.5667,1991.7,-97.9,-83.3,17.935,17.528,17.626,113.1,69.1,12.2,1.0,108.7,66.4,12.3,0.0
SSSJ000216.3+073351,0.5677,7.5642,1991.7,-98.1,-86.9,18.157,17.858,17.588,103.9,64.5,12.6,1.0,103.0,64.0,12.7,0.0
SSSJ000222.9+205823,0.5953,20.9731,1991.772,210.6,-19.9,19.264,18.734,18.806,163.8,164.6,12.7,1.0,162.2,163.0,12.8,0.0
SSSJ000224.2-172705,0.6007,-17.4515,1997.661,-69.5,-48.9,17.457,17.364,17.325,132.4,53.3,11.2,1.0,124.1,50.0,11.3,0.0
SSSJ000232.1-311344,0.6339,-31.2288,1990.796,85.9,5.4,20.964,19.509,18.344,46.5,19.0,16.4,0.38,61.3,25.0,15.5,0.62
SSSJ000232.2-321147,0.634,-32.1964,1990.796,263.9,-86.1,16.412,16.588,16.685,141.5,186.5,8.7,1.0,152.9,201.5,8.6,0.0
SSSJ000234.9+172720,0.6454,17.4556,1995.589,67.0,-71.3,16.022,16.45,16.446,188.3,87.5,6.8,1.0,163.3,75.8,7.0,0.0
SSSJ000247.0+042859,0.6958,4.483,1989.219,-51.5,3.8,18.223,18.125,18.24,209.3,51.3,10.6,1.0,200.1,49.0,10.9,0.0
SSSJ000249.1+164348,0.7045,16.73,1995.589,94.7,-83.2,18.808,18.834,18.911,319.5,190.8,10.0,1.0,313.7,187.3,10.3,0.0
SSSJ000253.0+422348,0.7209,42.3967,1987.458,-75.7,-11.5,17.528,17.415,17.213,114.5,41.5,11.7,1.0,107.3,38.9,11.9,0.0
SSSJ000253.8+161036,0.7242,16.1768,1995.589,20.2,-103.3,19.446,18.791,18.733,132.1,65.7,13.4,1.0,133.1,66.2,13.4,0.0
SSSJ000253.9+461403,0.7245,46.2342,1989.678,199.3,-6.7,18.646,17.721,17.115,43.1,40.6,14.7,0.6,47.5,44.9,14.6,0.4
SSSJ000254.4-653309,0.7267,-65.5526,1993.64,-94.2,-37.4,19.124,18.061,17.686,53.3,25.5,14.7,0.56,58.9,28.2,14.6,0.44
SSSJ000306.7+403928,0.7779,40.6577,1987.406,16.5,-29.1,18.437,18.451,18.505,258.9,41.0,10.2,1.0,252.2,40.0,10.5,0.0
SSSJ000311.2-182159,0.7965,-18.3663,1997.661,-50.3,-96.3,16.694,16.669,16.735,111.0,57.4,10.4,1.0,107.1,55.3,10.7,0.0
SSSJ000314.3+033551,0.8095,3.5974,1988.715,-27.4,-58.6,18.501,18.624,18.351,238.9,73.3,10.7,1.0,228.0,69.9,11.0,0.0
SSSJ000331.6-164359,0.8815,-16.7329,1995.661,244.8,-0.2,14.337,14.384,14.32,37.3,43.3,10.4,1.0,36.0,41.8,10.7,0.0
SSSJ000333.4-042652,0.889,-4.4477,1989.894,-95.8,-79.8,19.154,18.376,18.272,94.7,56.1,13.7,1.0,95.5,56.6,13.8,0.0
SSSJ000336.3-081230,0.9012,-8.2082,1999.61,70.9,39.5,18.667,18.788,18.612,277.5,106.5,10.4,1.0,268.8,103.2,10.6,0.0
SSSJ000344.8-391521,0.9365,-39.2559,1996.867,17.1,-145.2,18.172,17.709,17.442,81.8,56.6,13.2,1.0,82.2,56.9,13.2,0.0
SSSJ000351.3-232847,0.9637,-23.4797,1989.571,-55.4,-23.1,19.333,18.909,19.056,212.5,60.5,12.1,1.0,203.3,57.9,12.3,0.0
SSSJ000356.7+195221,0.9864,19.8724,1989.658,47.6,0.1,17.851,17.909,18.093,239.4,54.0,9.3,1.0,250.4,56.4,9.4,0.0
SSSJ000410.2-034008,1.0424,-3.6688,1989.894,220.0,-49.0,17.176,16.621,16.43,48.4,51.6,13.3,1.0,48.7,51.9,13.4,0.0
SSSJ000414.4-422313,1.0598,-42.387,1996.708,92.6,14.8,18.44,18.211,18.259,183.1,81.6,11.6,1.0,169.6,75.6,11.8,0.0
SSSJ000415.1+083841,1.0628,8.6448,1991.7,70.2,-83.6,18.746,18.202,17.948,96.2,49.7,13.4,1.0,96.7,50.0,13.4,0.0
SSSJ000416.5+153147,1.0687,15.5298,1995.589,69.3,-54.6,17.207,17.484,17.529,237.4,99.0,8.0,1.0,253.7,105.8,7.4,0.0
SSSJ000420.4-092809,1.0852,-9.4691,1986.583,69.0,-6.6,17.499,17.445,17.35,136.1,44.7,11.1,1.0,127.9,42.0,11.3,0.0
SSSJ000445.4-612340,1.189,-61.3944,1999.632,134.5,-105.6,16.867,16.744,16.521,81.0,65.7,11.8,1.0,76.2,61.8,12.0,0.0
SSSJ000445.9-632237,1.1914,-63.3768,1986.954,58.2,5.4,19.403,19.03,18.639,148.2,41.1,13.1,1.0,148.6,41.2,13.2,0.0
SSSJ000450.7-772214,1.2113,-77.3707,1997.581,-64.5,-224.0,19.382,17.721,17.183,20.8,23.0,16.8,0.27,34.5,38.1,15.3,0.73
SSSJ000456.3+295807,1.2347,29.9685,1988.607,48.4,7.7,17.341,17.493,17.469,180.7,42.0,9.6,1.0,185.2,43.0,9.7,0.0
SSSJ000457.9+411953,1.2414,41.3313,1989.761,126.8,49.8,16.402,16.561,16.621,130.4,84.1,9.1,1.0,139.3,89.8,9.1,0.0
SSSJ000504.7-012708,1.2694,-1.4521,1984.847,43.7,-21.3,16.554,16.927,16.892,196.8,45.3,7.5,1.0,203.1,46.8,7.0,0.0
SSSJ000506.5+731308,1.2771,73.219,1992.758,191.7,123.6,14.653,14.896,15.127,87.7,94.8,7.3,1.0,86.5,93.4,7.0,0.0
SSSJ000510.5-415318,1.2938,-41.8885,1988.513,58.4,-21.5,19.976,18.978,18.379,72.7,21.4,14.8,0.58,82.9,24.5,14.7,0.42
SSSJ000515.5+071314,1.3147,7.2206,1989.156,56.2,-16.0,17.949,18.099,18.339,322.3,89.3,8.2,1.0,346.4,96.0,7.6,0.0
SSSJ000523.1+341525,1.3463,34.2569,1989.163,-39.2,-50.5,18.075,18.083,17.875,176.0,53.3,11.2,1.0,165.7,50.2,11.3,0.0
SSSJ000525.9+204442,1.3578,20.7449,1991.772,-346.1,-261.4,18.765,17.942,17.739,70.5,145.0,14.0,0.63,71.2,146.4,14.0,0.37
SSSJ000531.1+174422,1.3796,17.7395,1991.772,6.9,-98.7,18.78,18.3,18.251,126.9,59.5,12.8,1.0,126.6,59.4,12.9,0.0
SSSJ000539.4+370102,1.4141,37.0172,1989.288,1.6,-52.7,18.064,17.913,17.902,165.1,41.3,11.4,1.0,153.6,38.4,11.6,0.0
SSSJ000555.9-100214,1.4829,-10.0371,1999.61,80.5,25.4,17.929,18.018,18.156,250.5,99.8,9.3,1.0,263.2,104.8,9.4,0.0
SSSJ000603.9+075515,1.516,7.9209,1989.7,-35.0,-37.7,17.955,17.825,17.65,139.1,33.9,11.7,1.0,130.4,31.8,11.9,0.0
SSSJ000608.6-455714,1.5357,-45.9539,1997.532,92.1,-2.5,19.289,18.737,18.654,139.5,60.9,13.1,1.0,140.4,61.2,13.2,0.0
SSSJ000610.0-634404,1.5415,-63.7344,1993.64,95.3,51.1,18.029,17.668,17.455,93.7,48.0,12.7,1.0,93.1,47.7,12.8,0.0
SSSJ000622.7-155544,1.5944,-15.9288,1986.216,64.8,-35.7,16.38,16.612,16.638,143.7,50.4,8.6,1.0,155.0,54.4,8.4,0.0
SSSJ000630.8-144437,1.6282,-14.7437,1985.7,37.1,-57.1,17.852,17.719,17.75,159.1,51.3,11.2,1.0,148.9,48.0,11.3,0.0
SSSJ000636.0-143614,1.6499,-14.6039,1986.013,61.9,12.1,16.862,16.985,17.203,180.2,53.9,8.6,1.0,195.1,58.3,8.4,0.0
SSSJ000639.0+081248,1.6624,8.2132,1991.7,-102.9,-64.9,17.107,17.102,17.317,158.5,91.7,9.6,1.0,159.2,92.0,9.9,0.0
SSSJ000640.5-534655,1.6686,-53.782,1996.836,-59.2,-59.6,16.483,16.528,16.457,98.6,39.3,10.5,1.0,95.2,37.9,10.7,0.0
SSSJ000657.8-153136,1.7408,-15.5265,1985.613,60.6,-37.2,17.798,17.837,17.77,180.3,60.8,10.5,1.0,174.0,58.7,10.7,0.0
SSSJ000707.3-311334,1.7803,-31.2262,1990.796,346.3,-127.2,16.663,16.709,16.77,121.1,211.8,9.9,1.0,119.5,209.0,10.2,0.0
SSSJ000712.1-060827,1.8004,-6.1407,1987.744,43.6,-32.1,17.605,17.501,17.671,164.4,42.2,10.5,1.0,157.4,40.4,10.8,0.0
SSSJ000720.4+123022,1.8352,12.5062,1995.589,353.9,-229.8,17.432,16.576,15.998,27.7,55.4,14.5,0.62,29.8,59.7,14.5,0.38
SSSJ000726.6+142904,1.861,14.4845,1995.589,-45.5,-86.6,17.908,17.993,17.909,200.4,93.1,10.2,1.0,194.6,90.4,10.5,0.0
SSSJ000728.9+340338,1.8704,34.0606,1991.777,19.5,187.5,17.808,17.055,16.72,45.0,40.3,14.0,1.0,45.5,40.8,14.0,0.0
SSSJ000729.8+395506,1.8741,39.9183,1987.37,16.6,-42.2,18.358,18.069,18.27,183.4,39.4,11.4,1.0,169.3,36.4,11.6,0.0
SSSJ000733.6-192638,1.8901,-19.4438,1997.661,103.6,-48.0,18.472,18.221,17.908,124.4,67.2,12.6,1.0,123.2,66.6,12.6,0.0
SSSJ000734.8-160531,1.8948,-16.0921,1995.661,162.7,-63.3,15.706,15.691,15.781,73.1,60.6,10.2,1.0,71.0,58.9,10.5,0.0
SSSJ000741.3-310319,1.922,-31.0551,1990.796,142.5,100.1,17.181,16.832,16.608,64.0,52.8,12.7,1.0,63.4,52.3,12.8,0.0
SSSJ000742.1+133849,1.9254,13.6471,1991.917,-37.0,-49.6,17.468,17.676,17.735,235.1,69.0,8.6,1.0,253.8,74.4,8.5,0.0
SSSJ000746.8+082237,1.9452,8.3769,1991.7,80.0,-54.1,16.945,17.274,17.45,294.2,135.3,6.7,1.0,251.8,115.8,7.0,0.0
SSSJ000747.6+195125,1.9484,19.857,1990.392,13.6,-43.2,16.355,16.354,16.197,81.7,17.5,11.1,1.0,77.0,16.5,11.2,0.0
SSSJ000806.6+082005,2.0273,8.3348,1989.714,57.2,10.3,16.557,16.73,16.808,147.0,40.5,8.8,1.0,158.6,43.7,8.8,0.0
SSSJ000830.6-035319,2.1275,-3.8886,1989.894,-58.6,-67.4,19.205,18.437,18.111,84.4,35.6,14.0,1.0,85.6,36.1,14.1,0.0
SSSJ000836.4-161909,2.1517,-16.3192,1995.661,-48.1,-173.0,18.68,18.047,17.885,88.9,75.8,13.5,1.0,89.4,76.2,13.5,0.0
SSSJ000839.9+230308,2.1664,23.0523,1991.772,4.0,-122.9,19.035,18.802,18.559,178.9,104.3,12.3,1.0,174.9,102.0,12.4,0.0
SSSJ000839.9+230309,2.1664,23.0525,1989.09,-25.2,-54.4,19.013,18.639,18.54,161.1,45.7,12.5,1.0,158.4,45.0,12.6,0.0
SSSJ000840.6+350343,2.169,35.0621,1989.422,-40.4,9.1,18.36,18.417,18.737,350.1,68.7,8.6,1.0,380.7,74.7,8.5,0.0
SSSJ000841.9-640452,2.1745,-64.0812,1993.64,-79.4,-29.6,18.437,17.737,17.314,60.3,24.3,14.0,1.0,61.0,24.6,14.0,0.0
SSSJ000846.0-232640,2.1917,-23.4445,1999.613,290.2,-230.3,18.933,17.969,17.597,56.0,98.2,14.5,0.59,59.6,104.5,14.4,0.41
SSSJ000847.5-460618,2.1977,-46.1049,1997.532,14.9,98.8,17.254,17.259,17.243,139.7,66.2,10.5,1.0,134.4,63.7,10.8,0.0
SSSJ000855.7+364560,2.232,36.7666,1991.777,169.7,-76.0,16.321,16.189,16.195,77.3,68.1,11.2,1.0,72.1,63.6,11.4,0.0
SSSJ000917.5+052728,2.3228,5.4579,1988.891,-7.8,54.3,18.318,18.141,18.128,177.7,46.2,11.5,1.0,165.2,43.0,11.7,0.0
SSSJ000954.7-390736,2.478,-39.1266,1996.867,65.5,-100.2,18.437,18.077,18.136,147.9,84.1,12.1,1.0,141.1,80.3,12.2,0.0
SSSJ001000.9+254826,2.5037,25.8073,1989.165,40.0,-4.7,18.715,18.901,18.736,317.5,60.6,9.9,1.0,312.1,59.6,10.2,0.0
SSSJ001005.9-164139,2.5248,-16.6941,1985.822,-6.3,-48.8,18.411,18.113,18.152,159.7,37.2,11.9,1.0,150.3,35.0,12.0,0.0
SSSJ001006.7-444741,2.5281,-44.7947,1997.532,66.1,-65.2,20.31,19.292,18.623,77.9,34.3,14.9,0.57,90.7,40.0,14.7,0.43
SSSJ001009.8-752306,2.541,-75.3851,1984.058,-50.3,-48.1,18.984,18.126,17.446,51.8,17.1,14.6,0.62,56.7,18.7,14.5,0.38
SSSJ001010.4+165756,2.5434,16.9655,1995.589,145.3,-28.7,18.876,18.645,18.575,199.5,139.9,11.9,1.0,188.1,131.9,12.0,0.0
SSSJ001015.7-202147,2.5654,-20.363,1997.661,111.7,-76.2,17.095,16.869,16.807,89.4,57.2,11.8,1.0,84.0,53.7,12.0,0.0
SSSJ001024.8+193427,2.6035,19.5741,1991.772,-0.4,-134.8,16.947,17.215,17.342,229.9,147.1,7.7,1.0,243.3,155.7,7.0,0.0
SSSJ001029.0+094533,2.621,9.7592,1989.514,37.9,-44.0,16.411,16.492,16.598,119.2,32.8,9.5,1.0,122.2,33.7,9.7,0.0
SSSJ001033.1+092743,2.638,9.4619,1991.7,79.2,101.4,17.451,17.505,17.415,154.0,94.1,10.5,1.0,148.6,90.9,10.7,0.0
SSSJ001035.2+362105,2.6468,36.3515,1991.777,-92.9,-15.1,17.57,17.579,17.713,185.1,82.5,9.9,1.0,183.5,81.7,10.1,0.0
SSSJ001038.2+173907,2.6592,17.652,1995.589,30.8,-85.6,18.182,18.13,18.128,200.8,86.6,10.8,1.0,190.5,82.2,11.0,0.0
SSSJ001042.0-323252,2.675,-32.5477,1996.613,188.3,-184.5,19.697,18.363,17.723,39.0,48.8,15.6,0.44,51.5,64.5,15.0,0.56
SSSJ001046.6-203818,2.6943,-20.6384,1997.661,86.5,-0.5,17.37,17.506,17.451,173.6,70.8,9.8,1.0,173.0,70.5,10.0,0.0
SSSJ001050.4+401937,2.7099,40.327,1989.761,114.6,-18.3,18.997,18.482,18.44,133.5,73.4,12.9,1.0,133.8,73.6,13.0,0.0
SSSJ001050.4+161852,2.7099,16.3143,1991.711,65.0,6.6,18.624,18.492,18.545,230.5,71.3,11.1,1.0,216.3,67.0,11.3,0.0
SSSJ001053.5-825838,2.723,-82.9771,1992.161,45.1,32.5,16.823,16.773,16.866,116.5,30.7,10.4,1.0,111.9,29.5,10.7,0.0
SSSJ001053.7+152220,2.7236,15.3723,1988.793,111.9,-24.3,20.226,18.728,17.805,33.8,18.4,16.5,0.36,47.8,26.0,15.4,0.64
SSSJ001115.1+372150,2.813,37.3639,1989.761,104.1,36.7,18.539,18.732,18.917,434.5,226.6,8.1,1.0,465.2,242.6,7.5,0.0
SSSJ001122.5+424043,2.8438,42.6787,1989.678,-47.0,-222.8,15.738,15.258,15.056,27.5,29.7,13.1,1.0,27.6,29.8,13.2,0.0
SSSJ001123.0-534006,2.8458,-53.6684,1996.836,106.3,-94.9,18.601,18.151,17.759,91.5,61.6,13.3,1.0,92.2,62.0,13.4,0.0
SSSJ001126.9-340206,2.8623,-34.035,1996.613,121.4,-48.5,18.058,17.6,17.542,94.1,58.4,12.7,1.0,93.4,58.0,12.8,0.0
SSSJ001132.3-082748,2.8845,-8.4632,1996.839,105.6,-13.6,18.104,17.912,17.989,170.8,86.6,11.3,1.0,158.7,80.5,11.5,0.0
SSSJ001133.4+184949,2.8891,18.8302,1991.772,102.8,0.6,16.697,16.572,16.512,87.5,42.7,11.4,1.0,81.5,39.8,11.6,0.0
SSSJ001142.7-090324,2.9278,-9.0566,1996.839,-4.4,-94.7,17.767,17.285,16.762,54.1,24.4,13.6,1.0,54.4,24.5,13.7,0.0
SSSJ001150.6+220835,2.9607,22.1432,1991.772,62.5,-98.3,18.719,17.69,17.287,45.3,24.9,14.7,0.57,49.8,27.4,14.6,0.43
SSSJ001158.4-050932,2.9934,-5.1588,1993.853,76.9,-24.4,17.576,17.582,17.595,166.3,63.9,10.4,1.0,160.7,61.7,10.7,0.0
SSSJ001204.4-665050,3.0183,-66.8471,1989.202,59.2,-21.7,18.946,18.335,18.384,121.3,36.2,13.0,1.0,122.1,36.5,13.1,0.0
SSSJ001214.4-493050,3.0601,-49.5139,1996.618,-50.8,-211.0,19.325,18.456,17.832,62.3,64.1,14.6,0.62,67.8,69.8,14.5,0.38
SSSJ001215.2+502525,3.0631,50.4237,1991.689,-436.3,-570.1,14.984,14.222,13.757,11.1,37.6,14.2,1.0,11.4,38.7,14.2,0.0
SSSJ001217.6-365710,3.0734,-36.9529,1989.023,26.1,-57.0,18.949,18.555,18.605,175.1,52.0,12.3,1.0,168.8,50.1,12.4,0.0
SSSJ001218.0+293241,3.0749,29.5448,1990.812,95.4,48.1,18.067,18.279,18.514,389.8,197.7,7.6,1.0,406.4,206.1,7.0,0.0
SSSJ001226.7-352258,3.1111,-35.3829,1996.613,135.4,54.7,17.46,17.217,17.368,125.4,86.7,11.3,1.0,116.2,80.4,11.5,0.0
SSSJ001228.0+413215,3.1166,41.5375,1988.982,-48.6,-14.2,18.322,18.34,18.276,224.2,53.8,10.6,1.0,214.9,51.6,10.9,0.0
SSSJ001228.9+100353,3.1206,10.0647,1989.165,60.3,-52.2,17.44,17.574,17.8,242.5,91.6,8.4,1.0,262.4,99.2,7.9,0.0
SSSJ001232.1-053331,3.1338,-5.5586,1993.853,213.7,-161.9,16.035,15.822,15.933,66.4,84.4,11.3,1.0,61.7,78.3,11.5,0.0
SSSJ001240.7+243417,3.1696,24.5713,1989.562,51.0,7.3,16.823,17.188,17.215,239.6,58.6,7.3,1.0,234.0,57.2,7.0,0.0
SSSJ001251.9-585140,3.2162,-58.8611,1999.632,0.8,-120.6,20.811,19.349,18.425,45.5,26.1,16.4,0.38,65.5,37.6,15.3,0.62
SSSJ001253.6+250842,3.2235,25.145,1988.748,63.5,-33.6,17.784,17.876,17.673,172.3,58.7,10.6,1.0,165.2,56.2,10.9,0.0
SSSJ001303.6-381320,3.2648,-38.2222,1996.867,-5.5,-100.3,17.865,17.937,17.744,175.8,83.3,10.7,1.0,167.8,79.5,11.0,0.0
SSSJ001304.5+521955,3.2689,52.3321,1989.182,45.3,-0.1,18.529,18.587,18.51,258.2,55.5,10.4,1.0,249.5,53.6,10.7,0.0
SSSJ001311.1-550059,3.2961,-55.0165,1996.836,78.6,-286.5,18.74,18.431,18.189,137.7,193.8,12.6,1.0,136.5,192.1,12.7,0.0
SSSJ001319.5+324614,3.3312,32.7706,1991.777,153.5,-100.9,16.19,16.292,16.219,93.5,81.5,10.1,1.0,91.7,80.0,10.4,0.0
SSSJ001319.5+324613,3.3314,32.7704,1990.812,163.0,-19.0,16.995,16.875,16.844,103.8,80.7,11.3,1.0,96.8,75.3,11.5,0.0
SSSJ001347.4-693459,3.4476,-69.583,1987.733,87.6,-2.0,18.2,18.137,18.168,204.2,85.2,10.7,1.0,194.5,81.1,11.0,0.0
SSSJ001347.5-393722,3.4481,-39.6228,1996.867,-247.1,-719.3,19.219,17.799,17.128,26.9,97.1,15.9,0.39,37.5,135.4,15.1,0.61
SSSJ001349.0-153737,3.4541,-15.6271,1995.9,76.9,-25.1,18.826,18.271,18.344,127.9,49.1,12.8,1.0,127.8,49.1,12.9,0.0
SSSJ001349.3-714951,3.4553,-71.8309,1987.733,191.8,-263.3,15.474,14.866,14.368,16.5,25.4,13.9,1.0,16.6,25.6,13.9,0.0
SSSJ001356.0-212122,3.4833,-21.356,1988.972,-49.9,-58.6,17.191,17.392,17.479,210.8,76.9,8.5,1.0,227.6,83.0,8.3,0.0
SSSJ001359.8-145954,3.4992,-14.9984,1986.48,-37.7,-61.6,18.623,18.157,18.431,166.0,56.8,12.0,1.0,155.9,53.4,12.2,0.0
SSSJ001400.4-363019,3.5017,-36.5052,1996.613,-92.4,-88.2,18.956,17.761,16.976,30.0,18.2,15.5,0.5,38.5,23.4,15.0,0.5
SSSJ001415.6-103505,3.565,-10.5848,1989.747,-32.6,-41.1,18.257,18.305,17.974,181.9,45.2,11.3,1.0,171.2,42.6,11.5,0.0
SSSJ001421.5-233309,3.5896,-23.5526,1986.74,51.9,-4.2,19.233,18.719,18.358,115.7,28.5,13.5,1.0,116.4,28.7,13.5,0.0
SSSJ001429.1-634726,3.6214,-63.7905,1993.64,85.6,-54.0,17.762,17.899,17.803,200.9,96.2,9.9,1.0,197.5,94.6,10.2,0.0
SSSJ001438.5-265853,3.6603,-26.9814,1986.909,46.8,19.7,19.403,18.927,18.965,185.6,44.7,12.6,1.0,182.3,43.9,12.7,0.0
SSSJ001444.4-125714,3.6849,-12.9538,1986.924,54.0,12.6,17.76,17.762,17.753,176.6,46.4,10.5,1.0,170.0,44.7,10.8,0.0
SSSJ001449.4-032109,3.706,-3.3524,1984.747,8.1,-61.4,17.917,18.007,18.13,245.9,72.2,9.3,1.0,256.4,75.3,9.5,0.0
SSSJ001504.7-204110,3.7695,-20.686,1996.683,257.9,-159.0,19.496,18.271,17.654,42.3,60.8,15.3,0.49,52.7,75.7,14.9,0.51
SSSJ001521.5-251553,3.8397,-25.2646,1999.629,150.6,-65.0,18.882,18.677,18.459,180.0,139.9,12.1,1.0,173.7,135.0,12.3,0.0
SSSJ001534.1-604927,3.8921,-60.8242,1999.632,107.6,-4.6,17.651,17.633,17.611,161.7,82.8,10.7,1.0,154.7,79.2,10.9,0.0
SSSJ001536.8-291706,3.9034,-29.2851,1991.678,107.8,-16.0,18.65,18.177,17.997,108.2,55.9,13.0,1.0,108.4,56.0,13.1,0.0
SSSJ001550.3-811649,3.9595,-81.2804,1986.792,42.5,27.6,18.349,18.076,17.856,124.6,29.9,12.4,1.0,122.1,29.4,12.5,0.0
SSSJ001557.7-752835,3.9905,-75.4764,1984.406,52.7,46.1,17.951,17.558,17.12,70.7,23.5,13.3,1.0,71.0,23.6,13.3,0.0
SSSJ001618.5-295845,4.0769,-29.9793,1991.678,179.7,63.0,19.083,18.584,18.242,111.5,100.4,13.4,1.0,112.5,101.3,13.5,0.0
SSSJ001629.5-230950,4.1229,-23.1639,1999.629,116.6,64.9,20.571,19.244,18.999,80.4,50.7,15.1,0.44,94.9,59.8,14.8,0.56
SSSJ001630.2-244609,4.1259,-24.7691,1999.629,68.3,-51.5,17.135,17.148,17.203,142.2,58.0,10.2,1.0,138.4,56.4,10.5,0.0
SSSJ001637.3-255147,4.1554,-25.863,1999.629,119.6,-121.0,18.783,18.22,18.09,104.8,84.4,13.2,1.0,105.5,85.0,13.3,0.0
SSSJ001643.3+152412,4.1804,15.4033,1988.793,125.2,-40.1,18.594,18.255,18.351,171.6,106.5,11.9,1.0,161.0,100.0,12.1,0.0
SSSJ001700.1-441734,4.2503,-44.2928,1988.668,49.6,-46.5,18.66,18.603,18.455,222.0,71.5,11.3,1.0,207.7,66.9,11.5,0.0
SSSJ001723.2+105840,4.3466,10.9778,1991.782,102.7,38.0,18.02,17.998,17.795,165.1,86.1,11.3,1.0,154.7,80.7,11.5,0.0
SSSJ001731.4+194430,4.381,19.7417,1986.9,-19.6,-53.7,18.628,18.589,18.577,248.9,67.5,10.7,1.0,236.8,64.2,11.0,0.0
SSSJ001733.4-331541,4.3892,-33.2614,1996.761,-21.8,-82.7,18.945,18.253,17.81,75.9,30.9,14.0,1.0,76.8,31.3,14.0,0.0
SSSJ001737.6-051644,4.4067,-5.2788,1993.853,270.3,-412.0,18.385,17.396,16.845,36.7,85.8,14.7,0.58,40.8,95.4,14.6,0.42
SSSJ001745.2+171221,4.4384,17.2059,1988.793,106.2,-19.7,18.443,18.242,18.31,194.6,99.6,11.4,1.0,180.8,92.6,11.6,0.0
SSSJ001759.5+324548,4.498,32.7634,1990.812,124.5,20.9,18.342,18.338,18.211,210.0,125.4,11.0,1.0,198.3,118.4,11.2,0.0
SSSJ001804.4-263619,4.5185,-26.6052,1987.519,34.5,-65.5,17.504,17.36,17.356,129.7,45.5,11.3,1.0,120.7,42.4,11.5,0.0
SSSJ001808.1-685119,4.5338,-68.8553,1987.733,218.6,-20.2,16.554,16.465,16.484,92.1,96.1,10.9,1.0,86.8,90.5,11.2,0.0
SSSJ001811.5+453502,4.5479,45.584,1989.766,-67.4,-61.5,18.685,18.556,18.286,177.7,76.7,12.0,1.0,169.7,73.2,12.1,0.0
SSSJ001817.4-392349,4.5726,-39.3969,1984.974,70.6,-3.8,17.336,17.333,17.387,152.1,50.9,10.3,1.0,147.5,49.4,10.6,0.0
SSSJ001819.5+134059,4.5811,13.683,1988.793,87.2,14.3,18.897,18.732,18.766,246.0,102.6,11.3,1.0,229.3,95.6,11.5,0.0
SSSJ001830.3-350145,4.6262,-35.0291,1996.761,208.0,-20.5,16.864,16.122,15.717,28.1,27.9,14.1,1.0,28.6,28.4,14.1,0.0
SSSJ001833.3-223732,4.6387,-22.6254,1986.635,55.3,-0.7,20.007,19.142,18.883,113.2,29.7,14.1,0.62,115.9,30.4,14.2,0.38
SSSJ001843.5+023324,4.6813,2.5567,1990.79,145.7,61.0,17.781,17.519,17.459,115.5,86.5,12.0,1.0,109.6,82.0,12.1,0.0
SSSJ001858.8-062817,4.745,-6.4715,1985.589,-47.4,-33.2,16.436,16.769,17.065,318.7,87.4,4.8,1.0,207.0,56.7,7.0,0.0
SSSJ001905.5-215249,4.7728,-21.8803,1988.522,56.1,-18.4,17.775,17.636,17.834,172.9,48.4,10.6,1.0,165.1,46.2,10.9,0.0
SSSJ001927.8-100722,4.8659,-10.1228,1989.899,17.7,-74.9,18.854,18.472,18.014,107.7,39.3,13.3,1.0,108.6,39.6,13.3,0.0
SSSJ001937.8-254921,4.9073,-25.8226,1986.906,-60.3,-11.5,19.896,19.058,19.059,128.5,37.4,13.7,0.63,130.5,37.9,13.8,0.37
SSSJ001942.1-111359,4.9253,-11.233,1996.839,228.1,-93.4,18.053,17.681,17.386,86.5,100.9,12.9,1.0,86.4,100.8,13.0,0.0
