Name,ra,dec,epoch,mu_acosd,mu_d,b,r,i,d_H,vt_H,Mbol_H,w_H,d_He,vt_He,Mbol_He,w_He
SSSJ231903.8+102111,349.7657,10.3531,1991.711,57.1,-127.5,17.445,17.044,16.818,66.4,44.1,12.9,1.0,66.4,44.1,13.0,0.0
SSSJ231907.4-570350,349.7808,-57.064,1997.535,65.2,-57.6,18.729,18.324,18.193,130.2,53.7,12.7,1.0,129.2,53.3,12.8,0.0
SSSJ231915.4-452248,349.814,-45.3801,1985.175,-54.7,7.4,19.064,18.638,18.326,125.4,32.8,13.1,1.0,126.2,33.0,13.2,0.0
SSSJ231935.2-170529,349.8968,-17.0913,1990.728,242.5,16.6,14.069,13.941,13.76,23.3,26.8,11.7,1.0,21.8,25.1,11.9,0.0
SSSJ231935.4-022859,349.8974,-2.483,1988.839,52.3,-230.5,17.777,16.692,16.161,24.8,27.7,14.9,0.55,28.4,31.7,14.7,0.45
SSSJ231935.9-025525,349.8997,-2.9235,1988.839,-202.2,-77.2,18.369,17.552,17.33,58.3,59.7,14.0,0.63,59.1,60.5,14.0,0.37
SSSJ231938.7-035832,349.9112,-3.9755,1988.839,-56.9,-143.2,18.768,18.27,18.286,130.4,95.2,12.7,1.0,129.1,94.3,12.8,0.0
SSSJ231943.6-281908,349.9318,-28.3188,1988.506,-6.4,-66.8,17.537,17.362,17.262,114.8,36.5,11.7,1.0,107.4,34.1,11.9,0.0
SSSJ231951.7+010910,349.9656,1.1528,1991.678,-58.3,-75.7,18.539,18.263,18.158,152.4,69.4,12.2,1.0,146.6,66.7,12.3,0.0
SSSJ231954.0-595821,349.9751,-59.9726,1987.386,-56.2,-54.6,17.027,16.693,16.361,55.1,20.4,12.9,1.0,54.9,20.4,13.0,0.0
SSSJ231955.3+004731,349.9806,0.7921,1982.89,3.0,-53.7,18.597,18.278,17.942,116.1,29.6,12.8,1.0,115.7,29.5,12.9,0.0
SSSJ232000.8-385118,350.0031,-38.855,1993.852,79.5,-103.6,16.822,16.77,16.78,108.4,67.3,10.7,1.0,103.1,64.0,11.0,0.0
SSSJ232008.2-801157,350.0342,-80.1993,1986.213,51.9,-33.1,18.472,18.038,17.734,95.0,27.7,13.1,1.0,95.2,27.8,13.2,0.0
SSSJ232008.9-032421,350.0371,-3.4059,1984.542,73.4,10.6,17.215,17.35,17.255,155.8,54.8,9.9,1.0,153.1,53.8,10.2,0.0
SSSJ232016.9-480353,350.0706,-48.0648,1992.872,88.6,16.3,18.136,18.198,17.824,168.7,71.9,11.4,1.0,158.8,67.7,11.5,0.0
SSSJ232017.1-304137,350.0712,-30.6937,1996.689,222.5,-45.7,19.987,18.965,18.585,83.3,89.6,14.6,0.57,90.9,97.8,14.5,0.43
SSSJ232018.3-463201,350.0763,-46.5337,1991.703,156.8,-1.2,20.615,19.059,18.587,34.8,25.9,17.1,0.33,69.7,51.9,15.2,0.67
SSSJ232027.3+451044,350.1139,45.1788,1989.68,147.7,-5.7,17.357,17.395,17.197,132.7,93.1,11.0,1.0,125.7,88.1,11.2,0.0
SSSJ232031.2+125814,350.1299,12.9707,1990.814,196.1,40.6,16.466,16.548,16.636,120.2,114.0,9.6,1.0,122.4,116.1,9.8,0.0
